pdf_url,is_local_domain
http://econweb.ucsd.edu/%7Ejandreoni/Econ264/papers/Kahneman%20et%20al%20JEP%201991.pdf,false
http://econweb.ucsd.edu/~jandreoni/Econ264/papers/Kahneman%20et%20al%20JEP%201991.pdf,false
http://kenankalayci.com/wp-content/uploads/2013/06/Ailin_continuous_minimum_29_Jan_2016_submitted.pdf,true
http://kenankalayci.com/wp-content/uploads/2013/06/BuyerConfusion_IJIO_2011_KalayciPotters.pdf,true
http://kenankalayci.com/wp-content/uploads/2013/06/Complexityandbiases_ExpEcon2015_KalayciSerraGarcia.pdf,true
http://kenankalayci.com/wp-content/uploads/2013/06/Confusopoly_ExpEcon2015_Kalayci.pdf,true
http://kenankalayci.com/wp-content/uploads/2013/06/ECON3060-Syllabus-2013.pdf,true
http://kenankalayci.com/wp-content/uploads/2013/06/Econ7400-Syllabus-2013.pdf,true
http://kenankalayci.com/wp-content/uploads/2013/06/KALAYCI_CV_July2017.pdf,true
http://kenankalayci.com/wp-content/uploads/2013/06/PriceComplexity_JEBO2015_Kalayci.pdf,true
http://kenankalayci.com/wp-content/uploads/2013/06/Retirement_JBehExpEcon2016_Tse_etal.pdf,true
http://kenankalayci.com/wp-content/uploads/2017/07/FKP_2017_08_22.pdf,true
http://kenankalayci.com/wp-content/uploads/2017/07/KLM_Twosided_230617.pdf,true
http://kenankalayci.com/wp-content/uploads/2020/08/Bao_et_al_JEBO_2020.pdf,true
http://media.wix.com/ugd/108e6c_9f45c75c52844c0b998e91c56e6df735.pdf,false
http://rady.ucsd.edu/faculty/directory/gneezy/pub/docs/risk-taking.pdf,false
http://www.prism.gatech.edu/%7Etbesedes3/besedes-breakdown.pdf,false
http://www.prism.gatech.edu/~tbesedes3/besedes-breakdown.pdf,false
http://www.tau.ac.il/%7Erani/nudge.pdf,false
http://www.tau.ac.il/~rani/nudge.pdf,false
https://economics.uq.edu.au/files/54088/Gunawardena_Friesen_Kalayci_v1%20-%2012-09-2025-1.pdf,false
https://kenankalayci.com/wp-content/uploads/2026/01/PyramidSchemes.pdf,true
https://my.uq.edu.au/files/11020/guide-literature-review-research-students.pdf,false
https://static1.squarespace.com/static/5e6033a4ea02d801f37e15bb/t/5eda74919c44fa5f87452697/1591374993570/phd_paper_writing.pdf,false
https://web.stanford.edu/~gentzkow/research/CodeAndData.pdf,false
https://web.stanford.edu/~niederle/ResearchTopic.pdf,false
https://www.brown.edu/Research/Shapiro/pdfs/applied_micro_slides.pdf,false
https://www.brown.edu/Research/Shapiro/pdfs/foursteps.pdf,false
